Designator,Footprint,Quantity,Value,LCSC Part #
"J15_20, J15_19, J15_18, J15_17, J15_16, J15_15, J15_14, J15_13, J15_12, J15_11, J15_10, J15_9, J15_8, J15_7, J15_6, J15_5, J15_4, J15_3, J15_2, J15",DC-005C_1,20,Barrel_Jack,C84007
"J16_20, J16_19, J16_18, J16_17, J16_16, J16_15, J16_14, J16_13, J16_12, J16_11, J16_10, J16_9, J16_8, J16_7, J16_6, J16_5, J16_4, J16_3, J16_2, J16",PinSocket_1x01_P2.54mm_Vertical,20,VIN,
"J18_20, J18_19, J18_18, J18_17, J18_16, J18_15, J18_14, J18_13, J18_12, J18_11, J18_10, J18_9, J18_8, J18_7, J18_6, J18_5, J18_4, J18_3, J18_2, J18",PinSocket_1x01_P2.54mm_Vertical,20,GND,
"L1_20, L1_19, L1_18, L1_17, L1_16, L1_15, L1_14, L1_13, L1_12, L1_11, L1_10, L1_9, L1_8, L1_7, L1_6, L1_5, L1_4, L1_3, L1_2, L1, L2_20, L2_19, L2_18, L2_17, L2_16, L2_15, L2_14, L2_13, L2_12, L2_11, L2_10, L2_9, L2_8, L2_7, L2_6, L2_5, L2_4, L2_3, L2_2, L2",LVF252A12,40,4.7uH,C98354
"Q1_20, Q1_19, Q1_18, Q1_17, Q1_16, Q1_15, Q1_14, Q1_13, Q1_12, Q1_11, Q1_10, Q1_9, Q1_8, Q1_7, Q1_6, Q1_5, Q1_4, Q1_3, Q1_2, Q1",SOT-23-small,20,AO3401A,C15127
"R10_20, R10_19, R10_18, R10_17, R10_16, R10_15, R10_14, R10_13, R10_12, R10_11, R10_10, R10_9, R10_8, R10_7, R10_6, R10_5, R10_4, R10_3, R10_2, R10, R19_20, R19_19, R19_18, R19_17, R19_16, R19_15, R19_14, R19_13, R19_12, R19_11, R19_10, R19_9, R19_8, R19_7, R19_6, R19_5, R19_4, R19_3, R19_2, R19, R20_20, R20_19, R20_18, R20_17, R20_16, R20_15, R20_14, R20_13, R20_12, R20_11, R20_10, R20_9, R20_8, R20_7, R20_6, R20_5, R20_4, R20_3, R20_2, R20, R21_20, R21_19, R21_18, R21_17, R21_16, R21_15, R21_14, R21_13, R21_12, R21_11, R21_10, R21_9, R21_8, R21_7, R21_6, R21_5, R21_4, R21_3, R21_2, R21, R22_20, R22_19, R22_18, R22_17, R22_16, R22_15, R22_14, R22_13, R22_12, R22_11, R22_10, R22_9, R22_8, R22_7, R22_6, R22_5, R22_4, R22_3, R22_2, R22, R23_20, R23_19, R23_18, R23_17, R23_16, R23_15, R23_14, R23_13, R23_12, R23_11, R23_10, R23_9, R23_8, R23_7, R23_6, R23_5, R23_4, R23_3, R23_2, R23, R24_20, R24_19, R24_18, R24_17, R24_16, R24_15, R24_14, R24_13, R24_12, R24_11, R24_10, R24_9, R24_8, R24_7, R24_6, R24_5, R24_4, R24_3, R24_2, R24, R25_20, R25_19, R25_18, R25_17, R25_16, R25_15, R25_14, R25_13, R25_12, R25_11, R25_10, R25_9, R25_8, R25_7, R25_6, R25_5, R25_4, R25_3, R25_2, R25, R28_20, R28_19, R28_18, R28_17, R28_16, R28_15, R28_14, R28_13, R28_12, R28_11, R28_10, R28_9, R28_8, R28_7, R28_6, R28_5, R28_4, R28_3, R28_2, R28",0402,180,10K,C25744
"R11_20, R11_19, R11_18, R11_17, R11_16, R11_15, R11_14, R11_13, R11_12, R11_11, R11_10, R11_9, R11_8, R11_7, R11_6, R11_5, R11_4, R11_3, R11_2, R11",0402,20,68K,C36871
"R12_20, R12_19, R12_18, R12_17, R12_16, R12_15, R12_14, R12_13, R12_12, R12_11, R12_10, R12_9, R12_8, R12_7, R12_6, R12_5, R12_4, R12_3, R12_2, R12, R26_20, R26_19, R26_18, R26_17, R26_16, R26_15, R26_14, R26_13, R26_12, R26_11, R26_10, R26_9, R26_8, R26_7, R26_6, R26_5, R26_4, R26_3, R26_2, R26",0402,40,15K,C25756
"R13_20, R13_19, R13_18, R13_17, R13_16, R13_15, R13_14, R13_13, R13_12, R13_11, R13_10, R13_9, R13_8, R13_7, R13_6, R13_5, R13_4, R13_3, R13_2, R13",0402,20,33K,C25779
"R14_20, R14_19, R14_18, R14_17, R14_16, R14_15, R14_14, R14_13, R14_12, R14_11, R14_10, R14_9, R14_8, R14_7, R14_6, R14_5, R14_4, R14_3, R14_2, R14",0402,20,4K7,C25900
"R15_20, R15_19, R15_18, R15_17, R15_16, R15_15, R15_14, R15_13, R15_12, R15_11, R15_10, R15_9, R15_8, R15_7, R15_6, R15_5, R15_4, R15_3, R15_2, R15, R16_20, R16_19, R16_18, R16_17, R16_16, R16_15, R16_14, R16_13, R16_12, R16_11, R16_10, R16_9, R16_8, R16_7, R16_6, R16_5, R16_4, R16_3, R16_2, R16",0402,40,5.1K,C25905
"R17_20, R17_19, R17_18, R17_17, R17_16, R17_15, R17_14, R17_13, R17_12, R17_11, R17_10, R17_9, R17_8, R17_7, R17_6, R17_5, R17_4, R17_3, R17_2, R17, R18_20, R18_19, R18_18, R18_17, R18_16, R18_15, R18_14, R18_13, R18_12, R18_11, R18_10, R18_9, R18_8, R18_7, R18_6, R18_5, R18_4, R18_3, R18_2, R18, R29_20, R29_19, R29_18, R29_17, R29_16, R29_15, R29_14, R29_13, R29_12, R29_11, R29_10, R29_9, R29_8, R29_7, R29_6, R29_5, R29_4, R29_3, R29_2, R29, R5_20, R5_19, R5_18, R5_17, R5_16, R5_15, R5_14, R5_13, R5_12, R5_11, R5_10, R5_9, R5_8, R5_7, R5_6, R5_5, R5_4, R5_3, R5_2, R5",0402,80,1K,C11702
"R27_20, R27_19, R27_18, R27_17, R27_16, R27_15, R27_14, R27_13, R27_12, R27_11, R27_10, R27_9, R27_8, R27_7, R27_6, R27_5, R27_4, R27_3, R27_2, R27",0402,20,2K2,C25879
"R30_20, R30_19, R30_18, R30_17, R30_16, R30_15, R30_14, R30_13, R30_12, R30_11, R30_10, R30_9, R30_8, R30_7, R30_6, R30_5, R30_4, R30_3, R30_2, R30",0402,20,6K8,C2906876
"SW1_20, SW1_19, SW1_18, SW1_17, SW1_16, SW1_15, SW1_14, SW1_13, SW1_12, SW1_11, SW1_10, SW1_9, SW1_8, SW1_7, SW1_6, SW1_5, SW1_4, SW1_3, SW1_2, SW1",Button_SKRKAEE020,20,reset,C115357
"SW2_20, SW2_19, SW2_18, SW2_17, SW2_16, SW2_15, SW2_14, SW2_13, SW2_12, SW2_11, SW2_10, SW2_9, SW2_8, SW2_7, SW2_6, SW2_5, SW2_4, SW2_3, SW2_2, SW2",Button_SKRKAEE020,20,boot,C115357
"TP1_20, TP1_19, TP1_18, TP1_17, TP1_16, TP1_15, TP1_14, TP1_13, TP1_12, TP1_11, TP1_10, TP1_9, TP1_8, TP1_7, TP1_6, TP1_5, TP1_4, TP1_3, TP1_2, TP1",PogoPad1,20,RX0,
"TP2_20, TP2_19, TP2_18, TP2_17, TP2_16, TP2_15, TP2_14, TP2_13, TP2_12, TP2_11, TP2_10, TP2_9, TP2_8, TP2_7, TP2_6, TP2_5, TP2_4, TP2_3, TP2_2, TP2",PogoPad1,20,TX0,
"TP20_20, TP20_19, TP20_18, TP20_17, TP20_16, TP20_15, TP20_14, TP20_13, TP20_12, TP20_11, TP20_10, TP20_9, TP20_8, TP20_7, TP20_6, TP20_5, TP20_4, TP20_3, TP20_2, TP20",PogoPad1,20,Svin,
"TP21_20, TP21_19, TP21_18, TP21_17, TP21_16, TP21_15, TP21_14, TP21_13, TP21_12, TP21_11, TP21_10, TP21_9, TP21_8, TP21_7, TP21_6, TP21_5, TP21_4, TP21_3, TP21_2, TP21",PogoPad1,20,Sver,
"TP3_20, TP3_19, TP3_18, TP3_17, TP3_16, TP3_15, TP3_14, TP3_13, TP3_12, TP3_11, TP3_10, TP3_9, TP3_8, TP3_7, TP3_6, TP3_5, TP3_4, TP3_3, TP3_2, TP3, TP9_20, TP9_19, TP9_18, TP9_17, TP9_16, TP9_15, TP9_14, TP9_13, TP9_12, TP9_11, TP9_10, TP9_9, TP9_8, TP9_7, TP9_6, TP9_5, TP9_4, TP9_3, TP9_2, TP9",PogoPad1,40,GND,
"TP4_20, TP4_19, TP4_18, TP4_17, TP4_16, TP4_15, TP4_14, TP4_13, TP4_12, TP4_11, TP4_10, TP4_9, TP4_8, TP4_7, TP4_6, TP4_5, TP4_4, TP4_3, TP4_2, TP4",PogoPad1,20,ECLK,
"TP5_20, TP5_19, TP5_18, TP5_17, TP5_16, TP5_15, TP5_14, TP5_13, TP5_12, TP5_11, TP5_10, TP5_9, TP5_8, TP5_7, TP5_6, TP5_5, TP5_4, TP5_3, TP5_2, TP5",PogoPad1,20,LED0,
"TP6_20, TP6_19, TP6_18, TP6_17, TP6_16, TP6_15, TP6_14, TP6_13, TP6_12, TP6_11, TP6_10, TP6_9, TP6_8, TP6_7, TP6_6, TP6_5, TP6_4, TP6_3, TP6_2, TP6",PogoPad1,20,SCL,
"TP7_20, TP7_19, TP7_18, TP7_17, TP7_16, TP7_15, TP7_14, TP7_13, TP7_12, TP7_11, TP7_10, TP7_9, TP7_8, TP7_7, TP7_6, TP7_5, TP7_4, TP7_3, TP7_2, TP7",PogoPad1,20,SDA,
"TP8_20, TP8_19, TP8_18, TP8_17, TP8_16, TP8_15, TP8_14, TP8_13, TP8_12, TP8_11, TP8_10, TP8_9, TP8_8, TP8_7, TP8_6, TP8_5, TP8_4, TP8_3, TP8_2, TP8",PogoPad1,20,MOE,
"U1_20, U1_19, U1_18, U1_17, U1_16, U1_15, U1_14, U1_13, U1_12, U1_11, U1_10, U1_9, U1_8, U1_7, U1_6, U1_5, U1_4, U1_3, U1_2, U1, U4_20, U4_19, U4_18, U4_17, U4_16, U4_15, U4_14, U4_13, U4_12, U4_11, U4_10, U4_9, U4_8, U4_7, U4_6, U4_5, U4_4, U4_3, U4_2, U4, U5_20, U5_19, U5_18, U5_17, U5_16, U5_15, U5_14, U5_13, U5_12, U5_11, U5_10, U5_9, U5_8, U5_7, U5_6, U5_5, U5_4, U5_3, U5_2, U5, U6_20, U6_19, U6_18, U6_17, U6_16, U6_15, U6_14, U6_13, U6_12, U6_11, U6_10, U6_9, U6_8, U6_7, U6_6, U6_5, U6_4, U6_3, U6_2, U6",HR8833,80,HR8833,C128666
"U10_20, U10_19, U10_18, U10_17, U10_16, U10_15, U10_14, U10_13, U10_12, U10_11, U10_10, U10_9, U10_8, U10_7, U10_6, U10_5, U10_4, U10_3, U10_2, U10",QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm,20,PCA9685BS,
"U11_20, U11_19, U11_18, U11_17, U11_16, U11_15, U11_14, U11_13, U11_12, U11_11, U11_10, U11_9, U11_8, U11_7, U11_6, U11_5, U11_4, U11_3, U11_2, U11",JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,20,Qwiic1,C160390
"U15_20, U15_19, U15_18, U15_17, U15_16, U15_15, U15_14, U15_13, U15_12, U15_11, U15_10, U15_9, U15_8, U15_7, U15_6, U15_5, U15_4, U15_3, U15_2, U15, U16_20, U16_19, U16_18, U16_17, U16_16, U16_15, U16_14, U16_13, U16_12, U16_11, U16_10, U16_9, U16_8, U16_7, U16_6, U16_5, U16_4, U16_3, U16_2, U16",TSOT-23-6,40,SY8113BADC,C78989
"U17_20, U17_19, U17_18, U17_17, U17_16, U17_15, U17_14, U17_13, U17_12, U17_11, U17_10, U17_9, U17_8, U17_7, U17_6, U17_5, U17_4, U17_3, U17_2, U17",USB_TYPE-C-31-M-12,20,USB_C_Receptacle,C165948
"U18_20, U18_19, U18_18, U18_17, U18_16, U18_15, U18_14, U18_13, U18_12, U18_11, U18_10, U18_9, U18_8, U18_7, U18_6, U18_5, U18_4, U18_3, U18_2, U18, U19_20, U19_19, U19_18, U19_17, U19_16, U19_15, U19_14, U19_13, U19_12, U19_11, U19_10, U19_9, U19_8, U19_7, U19_6, U19_5, U19_4, U19_3, U19_2, U19, U7_20, U7_19, U7_18, U7_17, U7_16, U7_15, U7_14, U7_13, U7_12, U7_11, U7_10, U7_9, U7_8, U7_7, U7_6, U7_5, U7_4, U7_3, U7_2, U7",ServoPorts_2x3,60,ServoPorts_2x3,C5116479
"U2_20, U2_19, U2_18, U2_17, U2_16, U2_15, U2_14, U2_13, U2_12, U2_11, U2_10, U2_9, U2_8, U2_7, U2_6, U2_5, U2_4, U2_3, U2_2, U2",QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,20,ESP32-S3FN8,C2913196
"U25_20, U25_19, U25_18, U25_17, U25_16, U25_15, U25_14, U25_13, U25_12, U25_11, U25_10, U25_9, U25_8, U25_7, U25_6, U25_5, U25_4, U25_3, U25_2, U25",LGA-16_3x3mm_P0.5mm,20,MMC5983MA,C404329
"U26_20, U26_19, U26_18, U26_17, U26_16, U26_15, U26_14, U26_13, U26_12, U26_11, U26_10, U26_9, U26_8, U26_7, U26_6, U26_5, U26_4, U26_3, U26_2, U26",Bosch_LGA-14_3x2.5mm_P0.5mm,20,LSM6DSDTR,C472550
"U3_20, U3_19, U3_18, U3_17, U3_16, U3_15, U3_14, U3_13, U3_12, U3_11, U3_10, U3_9, U3_8, U3_7, U3_6, U3_5, U3_4, U3_3, U3_2, U3",Crystal_SMD_2016-4Pin_2.0x1.6mm,20,Crystal_ESP32,C501798
"U8_20, U8_19, U8_18, U8_17, U8_16, U8_15, U8_14, U8_13, U8_12, U8_11, U8_10, U8_9, U8_8, U8_7, U8_6, U8_5, U8_4, U8_3, U8_2, U8",XKB5858-Z-75,20,5.8 ZSPT, C2681588
"U9_20, U9_19, U9_18, U9_17, U9_16, U9_15, U9_14, U9_13, U9_12, U9_11, U9_10, U9_9, U9_8, U9_7, U9_6, U9_5, U9_4, U9_3, U9_2, U9",SOT-666,20,USBLC6-2P6,C2827693
