Designator,Mid X,Mid Y,Rotation,Layer
U2_6,85.901999,-16.1,0.0,top
U2_5,85.901999,-74.1,0.0,top
U2_4,181.901999,-16.1,0.0,top
U2_3,37.901999,-16.1,0.0,top
U2_2,133.901999,-16.1,0.0,top
U2,133.901999,-74.1,0.0,top
U25_8,73.001999,-53.0,90.0,top
U25_7,121.001999,-111.0,90.0,top
U25_6,121.001999,-53.0,90.0,top
U25_5,169.001999,-53.0,90.0,top
U25_4,73.001999,-111.0,90.0,top
U25_3,25.001999,-53.0,90.0,top
U25_2,169.001999,-111.0,90.0,top
U25,25.001999,-111.0,90.0,top
U26_8,174.001999,-53.0,180.0,top
U26_7,174.001999,-111.0,180.0,top
U26_6,126.001999,-111.0,180.0,top
U26_5,78.001999,-53.0,180.0,top
U26_4,30.001999,-111.0,180.0,top
U26_3,30.001999,-53.0,180.0,top
U26_2,78.001999,-111.0,180.0,top
U26,126.001999,-53.0,180.0,top
U3_8,187.793168,-73.307717,90.0,top
U3_7,91.793168,-15.307717,90.0,top
U3_6,91.793168,-73.307717,90.0,top
U3_5,187.793168,-15.307717,90.0,top
U3_4,139.793168,-15.307717,90.0,top
U3_3,43.793168,-73.307717,90.0,top
U3_2,43.793168,-15.307717,90.0,top
U3,139.793168,-73.307717,90.0,top
U4_8,25.139499,-82.4,0.0,top
U4_7,169.139499,-24.4,0.0,top
U4_6,169.139499,-82.4,0.0,top
U4_5,73.139499,-24.4,0.0,top
U4_4,25.139499,-24.4,0.0,top
U4_3,121.139499,-82.4,0.0,top
U4_2,73.139499,-82.4,0.0,top
U4,121.139499,-24.4,0.0,top
U5_8,121.101999,-95.6,0.0,top
U5_7,25.101999,-37.6,0.0,top
U5_6,169.101999,-37.6,0.0,top
U5_5,121.101999,-37.6,0.0,top
U5_4,25.101999,-95.6,0.0,top
U5_3,73.101999,-37.6,0.0,top
U5_2,73.101999,-95.6,0.0,top
U5,169.101999,-95.6,0.0,top
U6_8,82.895749,-37.6,180.0,top
U6_7,130.895749,-95.6,180.0,top
U6_6,130.895749,-37.6,180.0,top
U6_5,82.895749,-95.6,180.0,top
U6_4,34.895749,-37.6,180.0,top
U6_3,178.895749,-95.6,180.0,top
U6_2,178.895749,-37.6,180.0,top
U6,34.895749,-95.6,180.0,top
U7_8,179.051999,-44.54,90.0,top
U7_7,35.051999,-44.54,90.0,top
U7_6,131.051999,-44.54,90.0,top
U7_5,35.051999,-102.54,90.0,top
U7_4,83.051999,-102.54,90.0,top
U7_3,131.051999,-102.54,90.0,top
U7_2,179.051999,-102.54,90.0,top
