Designator,Footprint,Quantity,Value,LCSC Part #
"SW1_10, SW1_9, SW1_8, SW1_7, SW1_6, SW1_5, SW1_4, SW1_3, SW1_2, SW1",Button_SKRKAEE020,10,reset,C115357
"SW2_10, SW2_9, SW2_8, SW2_7, SW2_6, SW2_5, SW2_4, SW2_3, SW2_2, SW2",Button_SKRKAEE020,10,boot,C115357
"TP1_10, TP1_9, TP1_8, TP1_7, TP1_6, TP1_5, TP1_4, TP1_3, TP1_2, TP1",PogoPad1,10,RX0,
"TP2_10, TP2_9, TP2_8, TP2_7, TP2_6, TP2_5, TP2_4, TP2_3, TP2_2, TP2",PogoPad1,10,TX0,
"TP20_10, TP20_9, TP20_8, TP20_7, TP20_6, TP20_5, TP20_4, TP20_3, TP20_2, TP20",PogoPad1,10,Svin,
"TP21_10, TP21_9, TP21_8, TP21_7, TP21_6, TP21_5, TP21_4, TP21_3, TP21_2, TP21",PogoPad1,10,Sver,
"TP3_10, TP3_9, TP3_8, TP3_7, TP3_6, TP3_5, TP3_4, TP3_3, TP3_2, TP3, TP9_10, TP9_9, TP9_8, TP9_7, TP9_6, TP9_5, TP9_4, TP9_3, TP9_2, TP9",PogoPad1,20,GND,
"TP4_10, TP4_9, TP4_8, TP4_7, TP4_6, TP4_5, TP4_4, TP4_3, TP4_2, TP4",PogoPad1,10,ECLK,
"TP5_10, TP5_9, TP5_8, TP5_7, TP5_6, TP5_5, TP5_4, TP5_3, TP5_2, TP5",PogoPad1,10,LED0,
"TP6_10, TP6_9, TP6_8, TP6_7, TP6_6, TP6_5, TP6_4, TP6_3, TP6_2, TP6",PogoPad1,10,SCL,
"TP7_10, TP7_9, TP7_8, TP7_7, TP7_6, TP7_5, TP7_4, TP7_3, TP7_2, TP7",PogoPad1,10,SDA,
"TP8_10, TP8_9, TP8_8, TP8_7, TP8_6, TP8_5, TP8_4, TP8_3, TP8_2, TP8",PogoPad1,10,MOE,
"U1_10, U1_9, U1_8, U1_7, U1_6, U1_5, U1_4, U1_3, U1_2, U1, U4_10, U4_9, U4_8, U4_7, U4_6, U4_5, U4_4, U4_3, U4_2, U4, U5_10, U5_9, U5_8, U5_7, U5_6, U5_5, U5_4, U5_3, U5_2, U5, U6_10, U6_9, U6_8, U6_7, U6_6, U6_5, U6_4, U6_3, U6_2, U6",HR8833,40,HR8833,C128666
"U10_10, U10_9, U10_8, U10_7, U10_6, U10_5, U10_4, U10_3, U10_2, U10",QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm,10,PCA9685BS,
"U11_10, U11_9, U11_8, U11_7, U11_6, U11_5, U11_4, U11_3, U11_2, U11",JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,10,Qwiic1,C160390
"U15_10, U15_9, U15_8, U15_7, U15_6, U15_5, U15_4, U15_3, U15_2, U15, U16_10, U16_9, U16_8, U16_7, U16_6, U16_5, U16_4, U16_3, U16_2, U16",TSOT-23-6,20,SY8113BADC,C78989
"U17_10, U17_9, U17_8, U17_7, U17_6, U17_5, U17_4, U17_3, U17_2, U17",USB_TYPE-C-31-M-12,10,USB_C_Receptacle,C165948
"U18_10, U18_9, U18_8, U18_7, U18_6, U18_5, U18_4, U18_3, U18_2, U18, U19_10, U19_9, U19_8, U19_7, U19_6, U19_5, U19_4, U19_3, U19_2, U19, U7_10, U7_9, U7_8, U7_7, U7_6, U7_5, U7_4, U7_3, U7_2, U7",ServoPorts_2x3,30,ServoPorts_2x3,C5116479
"U2_10, U2_9, U2_8, U2_7, U2_6, U2_5, U2_4, U2_3, U2_2, U2",QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,10,ESP32-S3FN8,C2913196
"U25_10, U25_9, U25_8, U25_7, U25_6, U25_5, U25_4, U25_3, U25_2, U25",LGA-16_3x3mm_P0.5mm,10,MMC5983MA,C404329
"U26_10, U26_9, U26_8, U26_7, U26_6, U26_5, U26_4, U26_3, U26_2, U26",Bosch_LGA-14_3x2.5mm_P0.5mm,10,LSM6DSO,C2829074
"U3_10, U3_9, U3_8, U3_7, U3_6, U3_5, U3_4, U3_3, U3_2, U3",Crystal_SMD_2016-4Pin_2.0x1.6mm,10,Crystal_ESP32,C501798
"U8_10, U8_9, U8_8, U8_7, U8_6, U8_5, U8_4, U8_3, U8_2, U8",XKB5858-Z-75,10,XKB5858-Z-75,C318867
"U9_10, U9_9, U9_8, U9_7, U9_6, U9_5, U9_4, U9_3, U9_2, U9",SOT-666,10,USBLC6-2P6,C2827693
